Species;X;Y;Abundance;Years;Site
Triturus marmoratus;358378;6795337;4;2010;Site 144
Rana dalmatina;344787;6794362;4;2010;Site 34
Triturus cristatus;343402;6782220;4;2010;Site 20
Lissotriton helveticus;349629;6785695;4;2009;Site 79
Triturus cristatus;348262;6787418;4;2006;Site 56
Rana dalmatina;348876;6786593;4;2006;Site 74
Triturus cristatus;361960;6788024;4;2003;Site 165
Lissotriton helveticus;359376;6798660;5;2010;Site 146
Lissotriton helveticus;344817;6796069;5;2010;Site 35
Lissotriton helveticus;351549;6778613;5;2010;Site 100
Lissotriton helveticus;357002;6791825;5;2010;Site 132
Lissotriton helveticus;357111;6791933;5;2010;Site 133
Triturus marmoratus;358202;6787124;5;2010;Site 142
Lissotriton helveticus;362341;6793430;5;2010;Site 167
Pelophylax spp.;362341;6793430;5;2010;Site 167
Rana dalmatina;362350;6792532;5;2010;Site 168
Ichthyosaura alpestris;364275;6784688;5;2010;Site 173
Triturus marmoratus;357640;6795279;5;2010;Site 137
Triturus marmoratus;358135;6794663;5;2010;Site 141
Lissotriton helveticus;352493;6780363;5;2010;Site 106
Salamandra salamandra;344787;6794362;5;2010;Site 34
Lissotriton helveticus;344092;6781186;5;2010;Site 27
Lissotriton helveticus;343650;6782643;5;2010;Site 24
Lissotriton helveticus;343328;6782268;5;2010;Site 16
Salamandra salamandra;343402;6782220;5;2010;Site 20
Rana dalmatina;335076;6788565;5;2010;Site 1
Lissotriton vulgaris;348912;6786837;5;2010;Site 76
Hyla arborea;348463;6787118;5;2006;Site 61
Lissotriton helveticus;348262;6787418;5;2006;Site 56
Hyla arborea;349629;6785695;5;2006;Site 79
Lissotriton helveticus;348912;6786837;5;2006;Site 76
Lissotriton helveticus;349068;6787661;5;2006;Site 78
Rana dalmatina;348843;6787941;5;2006;Site 72
Lissotriton helveticus;348488;6786814;5;2006;Site 64
Triturus cristatus;344752;6794917;6;2010;Site 33
Lissotriton helveticus;356224;6782445;6;2010;Site 124
Ichthyosaura alpestris;356252;6784421;6;2010;Site 126
Triturus marmoratus;356252;6784421;6;2010;Site 126
Lissotriton vulgaris;344724;6794329;6;2010;Site 32
Lissotriton helveticus;350221;6785849;6;2006;Site 88
Triturus cristatus;348860;6787975;6;2006;Site 73
Rana dalmatina;344867;6794816;7;2010;Site 36
Rana dalmatina;357002;6791825;7;2010;Site 132
Triturus cristatus;347849;6788001;7;2006;Site 54
Triturus cristatus;348912;6786837;7;2006;Site 76
Lissotriton helveticus;344930;6795017;8;2010;Site 38
Triturus cristatus;344867;6794816;8;2010;Site 36
Lissotriton helveticus;361293;6800629;8;2010;Site 161
Triturus cristatus;363974;6789458;8;2010;Site 172
Triturus cristatus;356252;6784421;8;2010;Site 126
Rana dalmatina;348912;6786837;8;2006;Site 76
Rana dalmatina;355801;6799726;10;2010;Site 123
Pelophylax spp.;356224;6782445;10;2010;Site 124
Hyla arborea;345621;6788602;10;2010;Site 45
Pelophylax spp.;345621;6788602;10;2010;Site 45
Ichthyosaura alpestris;358202;6787124;10;2010;Site 142
Lissotriton helveticus;358202;6787124;10;2010;Site 142
Lissotriton helveticus;360729;6792127;10;2010;Site 156
Lissotriton helveticus;360958;6793240;10;2010;Site 159
Pelophylax spp.;360729;6792127;10;2010;Site 156
Pelophylax spp.;360924;6792705;10;2010;Site 158
Pelophylax spp.;360877;6792820;10;2010;Site 157
Pelophylax spp.;362218;6792063;10;2010;Site 166
Pelophylax spp.;363424;6792927;10;2010;Site 170
Rana dalmatina;360729;6792127;10;2010;Site 156
Rana dalmatina;362218;6792063;10;2010;Site 166
Lissotriton helveticus;364275;6784688;10;2010;Site 173
Lissotriton helveticus;367429;6784790;10;2010;Site 178
Rana dalmatina;364275;6784688;10;2010;Site 173
Rana dalmatina;351303;6780637;10;2010;Site 99
Rana dalmatina;352493;6780363;10;2010;Site 106
Lissotriton helveticus;344724;6794329;10;2010;Site 32
Lissotriton helveticus;343695;6782397;10;2010;Site 26
Triturus cristatus;348912;6786837;10;2010;Site 76
Hyla arborea;348280;6787037;10;2006;Site 57
Lissotriton helveticus;348876;6786593;10;2006;Site 74
Hyla arborea;348488;6786814;10;2006;Site 64
Lissotriton helveticus;349929;6785714;10;2006;Site 83
Lissotriton helveticus;348398;6785920;10;2006;Site 58
Rana dalmatina;348666;6786915;10;2006;Site 65
Rana dalmatina;348488;6786814;10;2006;Site 64
Triturus cristatus;348843;6787941;11;2006;Site 72
Rana dalmatina;360958;6793240;15;2010;Site 159
Triturus marmoratus;367493;6784225;15;2010;Site 179
Rana dalmatina;343402;6782220;15;2010;Site 20
Lissotriton helveticus;350221;6785883;15;2009;Site 89
Ichthyosaura alpestris;361557;6788025;15;2003;Site 162
Lissotriton helveticus;361557;6788025;15;2003;Site 162
Triturus cristatus;361632;6787932;15;2003;Site 163
Ichthyosaura alpestris;351641;6778430;16;2010;Site 103
Triturus marmoratus;344752;6794917;17;2010;Site 33
Triturus cristatus;350206;6776401;18;2009;Site 87
Ichthyosaura alpestris;361741;6787981;18;2003;Site 164
Triturus cristatus;345621;6788602;19;2010;Site 45
Lissotriton helveticus;355801;6799726;20;2010;Site 123
Lissotriton helveticus;352788;6792708;20;2010;Site 107
Rana dalmatina;344752;6794917;20;2010;Site 33
Triturus cristatus;356224;6782445;20;2010;Site 124
Triturus cristatus;348893;6790708;20;2010;Site 75
Hyla arborea;367429;6784790;20;2010;Site 178
Lissotriton helveticus;367493;6784225;20;2010;Site 179
Pelophylax spp.;367493;6784225;20;2010;Site 179
Rana dalmatina;367429;6784790;20;2010;Site 178
Hyla arborea;348398;6785920;20;2006;Site 58
Rana dalmatina;361741;6787981;20;2003;Site 164
Rana dalmatina;343650;6782643;21;2010;Site 24
Rana dalmatina;343379;6782455;30;2010;Site 19
Lissotriton helveticus;343594;6782185;35;2010;Site 23
Lissotriton helveticus;343674;6782455;35;2010;Site 25
Lissotriton helveticus;344787;6794362;40;2010;Site 34
Lissotriton helveticus;343379;6782455;40;2010;Site 19
Rana dalmatina;351577;6780908;46;2010;Site 102
Lissotriton helveticus;341137;6798681;50;2010;Site 15
Salamandra salamandra;343695;6782397;50;2010;Site 26
Lissotriton helveticus;361741;6787981;50;2003;Site 164
Salamandra salamandra;343379;6782455;51;2010;Site 19
Lissotriton helveticus;355177;6792058;60;2010;Site 120
Lissotriton helveticus;351577;6780908;70;2010;Site 102
Triturus cristatus;344724;6794329;86;2010;Site 32
Rana dalmatina;350206;6776401;94;2009;Site 87
Lissotriton helveticus;338261;6794223;100;2010;Site 4
Lissotriton helveticus;344752;6794917;100;2010;Site 33
Lissotriton helveticus;344867;6794816;100;2010;Site 36
Salamandra salamandra;344752;6794917;100;2010;Site 33
Salamandra salamandra;344867;6794816;100;2010;Site 36
Rana dalmatina;343328;6782268;125;2010;Site 16
Rana dalmatina;350205;6776645;267;2009;Site 86
Hyla arborea;348488;6786814;1;2006;Site 64
Pelophylax spp.;348488;6786814;1;2006;Site 64
Hyla arborea;348912;6786837;1;2006;Site 76
Lissotriton helveticus;353791;6774245;1;2010;Site 114
Hyla arborea;358091;6777319;1;2010;Site 140
Ichthyosaura alpestris;358945;6789802;1;2010;Site 145
Lissotriton helveticus;351250;6774725;1;2010;Site 98
Pelophylax spp.;353791;6774245;1;2010;Site 114
Lissotriton helveticus;340849;6794431;1;2010;Site 12
Lissotriton helveticus;340849;6794431;1;2010;Site 12
Pelophylax spp.;340849;6794474;1;2010;Site 13
