Species;Year;Abundance;X;Y
Lissotriton helveticus;2011;1;248109;6795287
Lissotriton helveticus;2011;1;170747;6791902
Pelophylax kl. esculentus;2011;1;367561;6811096
Pelophylax spp.;2011;1;172576;6787201
Pelophylax spp.;2011;1;290694;6759354
Rana dalmatina;2011;1;185161;6770877
Rana dalmatina;2011;1;258019;6868802
Rana dalmatina;2011;1;367561;6811096
Rana temporaria;2011;1;232497;6836995
Rana temporaria;2011;1;258019;6868802
Rana temporaria;2011;1;267071;6857982
Rana temporaria;2011;1;257087;6864812
Rana temporaria;2011;1;172576;6787201
Rana temporaria;2011;1;367561;6811096
Rana temporaria;2011;1;170747;6791902
Rana temporaria;2011;1;170467;6792655
Salamandra salamandra;2011;1;300986;6727401
Salamandra salamandra;2011;1;172576;6787201
Salamandra salamandra;2011;1;172356;6817259
Salamandra salamandra;2011;1;170747;6791902
Salamandra salamandra;2011;1;371361;6824102
Salamandra salamandra;2011;1;154180;6832805
Salamandra salamandra;2011;1;371330;6823803
Salamandra salamandra;2011;1;258019;6868802
Salamandra salamandra;2011;1;257087;6864812
Salamandra salamandra;2011;1;254497;6848096
Salamandra salamandra;2011;1;234719;6869419
Salamandra salamandra;2011;1;340060;6790045
Salamandra salamandra;2011;1;367561;6811096
Salamandra salamandra;2011;1;290694;6759354
Triturus marmoratus;2011;1;290694;6759354
Triturus marmoratus;2011;1;367561;6811096
Alytes obstetricans;2010;1;207017;6838040
Alytes obstetricans;2010;1;200096;6837609
Alytes obstetricans;2010;1;146709;6841092
Bufo spinosus;2010;1;357337;6783846
Bufo spinosus;2010;1;207017;6838040
Bufo spinosus;2010;1;200096;6837609
Bufo spinosus;2010;1;248747;6794899
Bufo spinosus;2010;1;218461;6774104
Bufo spinosus;2010;1;222232;6873270
Epidalea calamita;2010;1;172356;6817259
Hyla arborea;2010;1;344875;6829343
Hyla arborea;2010;1;367561;6811096
Ichthyosaura alpestris;2010;1;344875;6829343
Lissotriton helveticus;2010;1;149630;6854781
Lissotriton helveticus;2010;1;169026;6790044
Lissotriton helveticus;2010;1;200096;6837609
Lissotriton helveticus;2010;1;207017;6838040
Lissotriton helveticus;2010;1;142596;6836404
Lissotriton helveticus;2010;1;142382;6836925
Pelodytes punctatus;2010;1;348398;6785920
Pelophylax kl. esculentus;2010;1;207017;6838040
Pelophylax spp.;2010;1;149630;6854781
